"Timestamp","Are you a university student?","Are you Taking your online Classes during this COVID-19 pandemic?","Are your classes are through the live sessions or recorded?","What is your age?","Gender?","From Which Country you Belong?","Your institute is private or government?","In which Institute you are studying?","Degree Level?","Your Program Name?","Which Tool you are using during online learning?","Which platform your tool support?","Is the lecture's material shared with you well after the Online session?","Are you Facing Internet issue during your online class?","Does your tool support recording while live session?","Does your tool shows live subtitles during lecture?","Does Tool has feature for Assignment submission?","Does Assignment feature contain grading option?","Does tool have quiz submission option?","Does quiz feature contain evaluation option?","Is chat room is available in your tool?  ","Is there any feature available for your attendance?","Does your tool have a whiteboard feature?","Does your tool have a one-to-one communication (Private chat with the instructor or student) feature?","Does your tool have a Screenshare feature?","Does your tool have a scheduling or reminder feature?","Does your tool support an online quiz?","Does your tool have the feature ""Raise hand"" during the live session for the question?","Have your recived notification from tool when your class has been started?","Where you get help for your study in addition to live sessions?","Rate your Answer [Are you Satisfied from your Classes?]","Rate your Answer [Is the specific tool is availble easily?]","Rate your Answer [How good Audio and Video Quality of the Online Class?]","Rate your Answer [How good your internet connection is while taking online class?]","Rate your Answer [How often you feel interruption during your online class?]","Your Suggestions regarding the improvement of Online Classes?","If You Want to add any feature, in a specific Tool? Please Mention.","How to improve this Survey form? ","","","","","","","",""
"2020/04/27 10:41:34 pm GMT+5","","Yes","","25","Male","Pakistan","","COMSATS University Islamabad","MS/ M-Phill","Computer Science","Microsoft Teams","","","No","","","","","","","","","","","","","","","","","5","4","3","3","","","","","5","5","Broadband/Wifi","5","4","5","4","5"
"2020/04/27 10:49:23 pm GMT+5","","Yes","","26","Male","Pakistan","","COMSATS University Islamabad","MS/ M-Phill","Computer Science","Microsoft Teams","","","No","","","","","","","","","","","","","","","","","5","4","4","5","","","","","4","4","Mobile Data","5","4","4","5","5"
"2020/04/27 10:55:18 pm GMT+5","","Yes","","23","Female","Pakistan","","COMSATS University Islamabad","MS/ M-Phill","Computer Science","Microsoft Teams","","","Yes","","","","","","","","","","","","","","","","","2","2","1","1","","How can I give suggestions to anyone else while my own internet is a big issue.","","","4","4","SCO","4","4","2","4","4"
"2020/04/28 12:27:45 am GMT+5","Yes","Yes","","21","Male","Pakistan","","COMSATS University Islamabad","BS","Computer Science","Microsoft Teams","Windows;Android","Yes","Yes","Yes","","Yes","No","","","Yes","No","","","","","","","","","2","4","4","4","4","No thanks ","Grading system ","","","","Broadband/Wifi","","","","4",""
"2020/04/30 2:58:43 pm GMT+5","Yes","Yes","","24","Male","Pakistan","","COMSATS University Islamabad","MS/ M-Phill","Computer Science","Microsoft Teams","Windows","Yes","Yes","Yes","","Yes","No","","","Yes","No","","","","","","","","","4","4","3","3","3","Shuould better","None","None","","","Mobile Data","","","","4",""
"2020/04/30 3:02:32 pm GMT+5","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/01 11:51:14 am GMT+5","Yes","Yes","","17-23","Female","Pakistan","Government","COMSATS University Islamabad","Undergraduate","Phsycology","Microsoft Teams","Windows","No","Yes","Yes","","Maybe","Yes","","","No","No","No","Yes","Yes","Yes","Yes","No","No","YouTube","1","4","1","1","1","","","","","","","","","","",""
"2020/05/01 1:58:16 pm GMT+5","Yes","Yes","","17-23","Female","Pakistan","Private","COMSATS University Islamabad","Undergraduate","Phsycology","Microsoft Teams","IOS","Yes","Yes","Yes","","Maybe","Yes","","","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","YouTube","3","4","5","3","5","Teachers should know about How to operate Microsoft office because they don’t know how to use it and due to this all students have to face so much interruption ","Shutting down of the microphones of students by teachers ","Maybe you should add questions about timings and teachers paying attention properly or not","","","","","","","",""
"2020/05/01 1:59:29 pm GMT+5","Yes","Yes","","17-23","Female","Pakistan","Private","COMSATS University Islamabad","Undergraduate","Phsycology","Microsoft Teams","IOS","Yes","Yes","No","","Maybe","No","","","Yes","No","No","No","Yes","No","No","No","No","YouTube","1","4","4","1","1","There should be no online classes","No such","Don’t know ","","","","","","","",""
"2020/05/01 2:02:57 pm GMT+5","Yes","Yes","","17-23","Female","The Philippines ","Government","COMSATS University Islamabad","Undergraduate","Phsycology","Microsoft Teams","Windows","Yes","Yes","Yes","","Maybe","No","","","Yes","No","No","No","Yes","No","No","No","No","Google ","1","4","1","2","1","As there are many internet problems, recorded lectures are way better than live call sessions. ","","There should be an option of ""Maybe"" or ""idk"" in the questions with only ""yes"" or ""no""  as an option, and no offense, grammar mistakes!","","","","","","","",""
